t,run_id,state,pos_n,pos_e,alt,vel_n,vel_e,yaw,cmd_vx,cmd_vy,speed,target_n,target_e,dist_to_target,front_dist,min_threat,min_threat_angle,collision,ok,n_obs,compute_ms,heading_score,clearance_score,velocity_score,heading_term,clearance_term,velocity_term,total,safe_dist
0.049,0,INIT,-0.3979,-0.1654,0.3358,0.0157,-0.0077,1.5881,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.099,0,INIT,-0.4036,-0.1633,0.3338,0.0125,-0.0062,1.5872,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.149,0,INIT,-0.4058,-0.1618,0.3322,0.0116,-0.0056,1.5866,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.199,0,INIT,-0.4073,-0.1605,0.3306,0.0112,-0.0053,1.5861,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.249,0,INIT,-0.4085,-0.1594,0.329,0.0109,-0.005,1.5861,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.299,0,INIT,-0.4099,-0.1602,0.3299,0.0102,-0.0055,1.5863,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.349,0,INIT,-0.4114,-0.1616,0.3313,0.0092,-0.0063,1.5867,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.399,0,INIT,-0.4125,-0.1628,0.3321,0.0086,-0.007,1.5872,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.449,0,INIT,-0.4144,-0.1621,0.3314,0.0081,-0.0057,1.5882,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.499,0,INIT,-0.4166,-0.1609,0.33,0.0078,-0.0038,1.5892,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.549,0,INIT,-0.4182,-0.1599,0.3287,0.0075,-0.0024,1.5895,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.599,0,INIT,-0.4191,-0.1577,0.3251,0.0074,-0.0,1.5898,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.649,0,INIT,-0.4197,-0.1558,0.3219,0.0073,0.0019,1.5899,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.699,0,INIT,-0.4202,-0.1541,0.319,0.0072,0.0036,1.5897,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.749,0,INIT,-0.4213,-0.1531,0.3145,0.0062,0.005,1.5895,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.799,0,INIT,-0.4226,-0.152,0.3095,0.0051,0.0066,1.5893,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.849,0,INIT,-0.4232,-0.1518,0.3054,0.0043,0.0073,1.5891,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.899,0,INIT,-0.4223,-0.1548,0.3043,0.0049,0.0057,1.589,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.949,0,INIT,-0.4209,-0.1589,0.3026,0.0055,0.0035,1.589,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.999,0,INIT,-0.4198,-0.1625,0.3004,0.006,0.0015,1.5893,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.049,0,INIT,-0.419,-0.1651,0.2968,0.006,-0.0004,1.5895,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.099,0,TAKEOFF,-0.4184,-0.1676,0.2935,0.006,-0.0021,1.5896,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.149,0,TAKEOFF,-0.4177,-0.1697,0.2907,0.0058,-0.0034,1.5901,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.199,0,TAKEOFF,-0.4173,-0.1702,0.2898,0.0054,-0.0037,1.5904,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.249,0,TAKEOFF,-0.4171,-0.1706,0.2891,0.005,-0.0038,1.5903,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.299,0,TAKEOFF,-0.4167,-0.1708,0.2887,0.0046,-0.0038,1.5901,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.349,0,TAKEOFF,-0.4161,-0.1696,0.2915,0.0042,-0.0029,1.5902,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.399,0,TAKEOFF,-0.4155,-0.1685,0.2939,0.0039,-0.0021,1.5903,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.449,0,TAKEOFF,-0.4149,-0.1671,0.2953,0.0037,-0.0011,1.5903,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.499,0,TAKEOFF,-0.4134,-0.164,0.2947,0.004,0.0007,1.5895,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.549,0,TAKEOFF,-0.4123,-0.1617,0.294,0.0041,0.002,1.5885,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.6,0,TAKEOFF,-0.4111,-0.1597,0.2941,0.0044,0.0031,1.5873,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.649,0,TAKEOFF,-0.4088,-0.1584,0.2973,0.0055,0.0039,1.5863,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.699,0,TAKEOFF,-0.4067,-0.1572,0.3,0.0064,0.0045,1.5854,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.749,0,TAKEOFF,-0.4054,-0.1554,0.3017,0.0069,0.0054,1.5847,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.8,0,TAKEOFF,-0.408,-0.1522,0.2998,0.0053,0.0069,1.5844,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.849,0,TAKEOFF,-0.4104,-0.1494,0.2979,0.0038,0.0083,1.5847,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
