t,run_id,state,pos_n,pos_e,alt,vel_n,vel_e,yaw,cmd_vx,cmd_vy,speed,target_n,target_e,dist_to_target,front_dist,min_threat,min_threat_angle,collision,ok,n_obs,compute_ms,heading_score,clearance_score,velocity_score,heading_term,clearance_term,velocity_term,total,safe_dist
0.049,0,INIT,-0.0555,-0.024,-0.5089,-0.0065,0.0093,1.5697,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.099,0,INIT,-0.0548,-0.0194,-0.5114,-0.0065,0.0109,1.5697,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.149,0,INIT,-0.0544,-0.0161,-0.5134,-0.0065,0.0122,1.5697,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.199,0,INIT,-0.0535,-0.0127,-0.5168,-0.0062,0.0132,1.5695,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.249,0,INIT,-0.052,-0.0106,-0.5215,-0.0055,0.0137,1.5695,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.299,0,INIT,-0.0508,-0.0087,-0.5257,-0.0048,0.0141,1.5695,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.349,0,INIT,-0.0496,-0.0066,-0.5313,-0.0043,0.0149,1.5695,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.399,0,INIT,-0.0489,-0.0046,-0.538,-0.0043,0.016,1.5695,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.449,0,INIT,-0.0484,-0.003,-0.543,-0.0044,0.0169,1.5694,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.499,0,INIT,-0.0494,-0.0032,-0.5503,-0.0045,0.0163,1.5692,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.549,0,INIT,-0.0506,-0.0041,-0.5566,-0.0047,0.0154,1.569,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.599,0,INIT,-0.0519,-0.005,-0.5633,-0.0049,0.0144,1.5698,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.649,0,INIT,-0.048,-0.0055,-0.5663,-0.0025,0.0134,1.5709,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.699,0,INIT,-0.0425,-0.0059,-0.5691,0.0009,0.0123,1.5723,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.749,0,INIT,-0.0383,-0.0062,-0.5712,0.0034,0.0115,1.5732,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.799,0,INIT,-0.0348,-0.006,-0.5633,0.0052,0.0108,1.5735,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.849,0,INIT,-0.0322,-0.0058,-0.5577,0.0064,0.0104,1.5734,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.899,0,INIT,-0.0298,-0.006,-0.5516,0.0077,0.0098,1.573,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.949,0,INIT,-0.0293,-0.0076,-0.5455,0.0087,0.0088,1.5726,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.999,0,INIT,-0.0288,-0.0087,-0.5412,0.0094,0.008,1.5723,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.049,0,INIT,-0.03,-0.0107,-0.5374,0.0093,0.0071,1.5719,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.099,0,TAKEOFF,-0.0335,-0.0133,-0.5357,0.0079,0.006,1.572,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.149,0,TAKEOFF,-0.0372,-0.016,-0.534,0.0063,0.0049,1.5723,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.199,0,TAKEOFF,-0.039,-0.016,-0.5323,0.0057,0.0048,1.5724,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.249,0,TAKEOFF,-0.0404,-0.0146,-0.5303,0.0054,0.0051,1.5724,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.299,0,TAKEOFF,-0.0413,-0.0136,-0.5289,0.0052,0.0054,1.5725,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.35,0,TAKEOFF,-0.0453,-0.0128,-0.527,0.0035,0.0053,1.5726,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.399,0,TAKEOFF,-0.0494,-0.0124,-0.5255,0.0018,0.0052,1.5728,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
