t,run_id,state,pos_n,pos_e,alt,vel_n,vel_e,yaw,cmd_vx,cmd_vy,speed,target_n,target_e,dist_to_target,front_dist,min_threat,min_threat_angle,collision,ok,n_obs,compute_ms,heading_score,clearance_score,velocity_score,heading_term,clearance_term,velocity_term,total,safe_dist
0.049,0,INIT,-0.0466,0.2186,-0.7297,0.017,0.0308,1.5534,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.099,0,INIT,-0.0433,0.2205,-0.7316,0.0185,0.0314,1.554,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.149,0,INIT,-0.0391,0.2235,-0.7307,0.0205,0.0326,1.555,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.199,0,INIT,-0.0353,0.2262,-0.7301,0.0222,0.0337,1.5565,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.249,0,INIT,-0.0325,0.2287,-0.7294,0.0233,0.0346,1.5575,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.299,0,INIT,-0.0296,0.2317,-0.7286,0.0244,0.0357,1.5583,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.349,0,INIT,-0.0274,0.234,-0.7282,0.0251,0.0366,1.5586,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.399,0,INIT,-0.0251,0.2381,-0.7318,0.0256,0.0379,1.5588,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.449,0,INIT,-0.0235,0.2414,-0.7352,0.0259,0.039,1.5588,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.499,0,INIT,-0.0219,0.2445,-0.7385,0.0261,0.04,1.5586,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.549,0,INIT,-0.0197,0.2478,-0.7444,0.0267,0.041,1.558,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.599,0,INIT,-0.0178,0.2504,-0.7492,0.0272,0.0418,1.5576,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.649,0,INIT,-0.0158,0.2534,-0.7546,0.0277,0.0427,1.5571,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.699,0,INIT,-0.0176,0.257,-0.7558,0.0267,0.0438,1.5562,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.749,0,INIT,-0.0195,0.261,-0.7574,0.0256,0.045,1.5554,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.799,0,INIT,-0.0207,0.2645,-0.7585,0.0249,0.0462,1.5549,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.849,0,INIT,-0.0214,0.269,-0.7586,0.0243,0.0482,1.5544,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.899,0,INIT,-0.0221,0.274,-0.7589,0.0237,0.0503,1.5538,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.949,0,INIT,-0.0208,0.2784,-0.7587,0.0241,0.0521,1.5539,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.999,0,INIT,-0.0161,0.2818,-0.7573,0.026,0.0532,1.5545,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.049,0,INIT,-0.0125,0.2845,-0.7565,0.0275,0.0541,1.5553,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.099,0,TAKEOFF,-0.0096,0.2855,-0.7551,0.0284,0.054,1.5565,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.149,0,TAKEOFF,-0.0069,0.2854,-0.7534,0.0291,0.0532,1.5575,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.199,0,TAKEOFF,-0.0048,0.2856,-0.7523,0.0296,0.0527,1.5578,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.249,0,TAKEOFF,-0.0029,0.2844,-0.7496,0.0299,0.0516,1.5577,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.3,0,TAKEOFF,-0.001,0.2821,-0.7455,0.0302,0.0501,1.5573,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.349,0,TAKEOFF,0.0005,0.2806,-0.7428,0.0304,0.049,1.5575,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.399,0,TAKEOFF,0.0018,0.2784,-0.7385,0.0302,0.0477,1.558,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.449,0,TAKEOFF,0.0026,0.2768,-0.735,0.0299,0.0466,1.5585,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.5,0,TAKEOFF,0.0034,0.2755,-0.7321,0.0297,0.0457,1.559,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.55,0,TAKEOFF,0.005,0.2729,-0.7292,0.0299,0.044,1.5593,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.599,0,TAKEOFF,0.0066,0.2706,-0.7269,0.0302,0.0425,1.56,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.649,0,TAKEOFF,0.008,0.2691,-0.7255,0.0305,0.0415,1.5605,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
