t,run_id,state,pos_n,pos_e,alt,vel_n,vel_e,yaw,cmd_vx,cmd_vy,speed,target_n,target_e,dist_to_target,front_dist,min_threat,min_threat_angle,collision,ok,n_obs,compute_ms,heading_score,clearance_score,velocity_score,heading_term,clearance_term,velocity_term,total,safe_dist
0.049,0,INIT,-0.1294,-0.1204,-0.7513,-0.0099,-0.0164,1.5682,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.099,0,INIT,-0.1315,-0.1191,-0.7452,-0.0115,-0.0155,1.5684,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.149,0,INIT,-0.1331,-0.1183,-0.741,-0.0127,-0.0149,1.5687,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.199,0,INIT,-0.133,-0.117,-0.7331,-0.0129,-0.0139,1.5688,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.249,0,INIT,-0.1324,-0.1163,-0.7275,-0.0127,-0.0133,1.5689,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.299,0,INIT,-0.1319,-0.1156,-0.7228,-0.0125,-0.0128,1.5691,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.349,0,INIT,-0.1349,-0.1138,-0.7171,-0.0141,-0.0111,1.5697,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.399,0,INIT,-0.1382,-0.112,-0.7122,-0.0158,-0.0093,1.5704,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.449,0,INIT,-0.1395,-0.1107,-0.7081,-0.0166,-0.008,1.5709,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.499,0,INIT,-0.136,-0.1092,-0.7006,-0.0151,-0.006,1.5714,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.55,0,INIT,-0.133,-0.1078,-0.6944,-0.0139,-0.0044,1.5716,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.599,0,INIT,-0.1315,-0.1069,-0.6894,-0.013,-0.0031,1.5713,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.649,0,INIT,-0.1313,-0.1064,-0.6859,-0.0125,-0.0024,1.571,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
