t,run_id,state,pos_n,pos_e,alt,vel_n,vel_e,yaw,cmd_vx,cmd_vy,speed,target_n,target_e,dist_to_target,front_dist,min_threat,min_threat_angle,collision,ok,n_obs,compute_ms,heading_score,clearance_score,velocity_score,heading_term,clearance_term,velocity_term,total,safe_dist
0.049,0,INIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.1,0,INIT,-0.0246,0.1233,1.0299,0.0271,-0.0096,1.565,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.149,0,INIT,-0.0214,0.1267,1.0358,0.0284,-0.0071,1.5651,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.199,0,INIT,-0.0198,0.1282,1.0382,0.0283,-0.0057,1.5653,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.249,0,INIT,-0.0184,0.1296,1.0405,0.0281,-0.0045,1.5664,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.299,0,INIT,-0.0179,0.1313,1.0414,0.0272,-0.0029,1.5676,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.349,0,INIT,-0.0183,0.1333,1.0413,0.0257,-0.001,1.5686,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.4,0,INIT,-0.0186,0.1351,1.0413,0.0244,0.0007,1.5697,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.449,0,INIT,-0.0143,0.1352,1.0418,0.0254,0.0017,1.5705,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.5,0,INIT,-0.0097,0.135,1.0424,0.0267,0.0025,1.5711,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.549,0,INIT,-0.0062,0.1349,1.043,0.0278,0.003,1.5717,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.599,0,INIT,-0.0034,0.1362,1.0412,0.0284,0.0042,1.5719,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.65,0,INIT,-0.0003,0.1376,1.0395,0.0291,0.0054,1.5718,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.699,0,INIT,0.0009,0.139,1.0391,0.0291,0.0065,1.5708,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.749,0,INIT,-0.0006,0.1403,1.0403,0.028,0.0073,1.5702,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.799,0,INIT,-0.0021,0.1416,1.0417,0.0268,0.0082,1.5699,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.849,0,INIT,-0.005,0.143,1.0432,0.025,0.0092,1.5702,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.899,0,INIT,-0.0102,0.1448,1.0449,0.022,0.0105,1.5704,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.949,0,INIT,-0.0157,0.1468,1.0469,0.0189,0.0119,1.5703,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
