t,run_id,state,pos_n,pos_e,alt,vel_n,vel_e,yaw,cmd_vx,cmd_vy,speed,target_n,target_e,dist_to_target,front_dist,min_threat,min_threat_angle,collision,ok,n_obs,compute_ms,heading_score,clearance_score,velocity_score,heading_term,clearance_term,velocity_term,total,safe_dist
0.05,0,INIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.099,0,INIT,-0.0912,0.0588,1.0358,-0.0017,-0.0076,1.5671,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.149,0,INIT,-0.0884,0.0572,1.034,0.0,-0.0084,1.5669,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.199,0,INIT,-0.086,0.0558,1.0326,0.0015,-0.009,1.5674,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.249,0,INIT,-0.0849,0.0546,1.0308,0.0025,-0.0093,1.5682,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.299,0,INIT,-0.0858,0.0539,1.0283,0.0024,-0.009,1.569,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.349,0,INIT,-0.0868,0.0531,1.0259,0.0024,-0.0088,1.5697,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.4,0,INIT,-0.0836,0.0551,1.0206,0.0041,-0.0071,1.5701,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.449,0,INIT,-0.0796,0.0576,1.0156,0.0061,-0.0052,1.5699,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.499,0,INIT,-0.076,0.0599,1.0112,0.0079,-0.0036,1.5697,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.549,0,INIT,-0.0749,0.062,1.0074,0.0086,-0.0021,1.5695,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.6,0,INIT,-0.0751,0.0635,1.005,0.0086,-0.0011,1.5697,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.649,0,INIT,-0.0753,0.0651,1.0025,0.0086,-0.0001,1.5701,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.699,0,INIT,-0.0781,0.0658,0.9952,0.0075,0.0004,1.5705,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.75,0,INIT,-0.0806,0.0663,0.9891,0.0065,0.0007,1.5703,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.799,0,INIT,-0.0831,0.0672,0.9821,0.0055,0.0012,1.5694,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.849,0,INIT,-0.0852,0.0701,0.9723,0.0043,0.0029,1.5688,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.9,0,INIT,-0.0864,0.072,0.9665,0.0037,0.0039,1.5687,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.949,0,INIT,-0.0872,0.0746,0.9589,0.0032,0.0054,1.5697,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.999,0,INIT,-0.0836,0.0775,0.9512,0.0044,0.0075,1.571,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.049,0,INIT,-0.0809,0.0798,0.9458,0.0054,0.009,1.5723,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.1,0,TAKEOFF,-0.0784,0.0818,0.9419,0.0063,0.0102,1.5744,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.149,0,TAKEOFF,-0.0749,0.0832,0.9415,0.0077,0.011,1.5765,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.2,0,TAKEOFF,-0.0723,0.0843,0.9414,0.0087,0.0115,1.5776,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.249,0,TAKEOFF,-0.0695,0.0854,0.9404,0.0099,0.0121,1.5784,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.299,0,TAKEOFF,-0.0657,0.0867,0.9378,0.0117,0.0128,1.5791,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.349,0,TAKEOFF,-0.0623,0.088,0.9358,0.0132,0.0134,1.5789,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.4,0,TAKEOFF,-0.0603,0.0896,0.9362,0.0138,0.0142,1.5787,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.449,0,TAKEOFF,-0.0586,0.0918,0.938,0.0139,0.0153,1.5789,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.5,0,TAKEOFF,-0.0574,0.0935,0.9395,0.014,0.0161,1.5792,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.55,0,TAKEOFF,-0.0552,0.0962,0.9463,0.0147,0.0171,1.5796,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.599,0,TAKEOFF,-0.0525,0.0994,0.9551,0.0156,0.0181,1.5802,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.649,0,TAKEOFF,-0.0505,0.1019,0.9616,0.0164,0.0189,1.5807,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.699,0,TAKEOFF,-0.0512,0.1032,0.9689,0.016,0.0194,1.581,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.749,0,TAKEOFF,-0.0525,0.1045,0.977,0.0153,0.0198,1.5809,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.8,0,TAKEOFF,-0.0536,0.1057,0.9841,0.0147,0.0202,1.5805,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.85,0,TAKEOFF,-0.0544,0.1051,0.9869,0.0141,0.0198,1.5801,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.899,0,TAKEOFF,-0.0554,0.1044,0.9905,0.0133,0.0193,1.58,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.95,0,TAKEOFF,-0.0562,0.1039,0.9933,0.0127,0.019,1.5803,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.999,0,TAKEOFF,-0.0515,0.1021,0.9969,0.0144,0.0181,1.5806,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.049,0,TAKEOFF,-0.0481,0.1008,0.9997,0.0156,0.0176,1.5807,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.099,0,TAKEOFF,-0.0444,0.0996,1.0032,0.0169,0.0168,1.5813,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.149,0,TAKEOFF,-0.0419,0.0988,1.0079,0.0176,0.0159,1.5817,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.199,0,TAKEOFF,-0.0395,0.0981,1.0122,0.0182,0.0151,1.5819,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.249,0,TAKEOFF,-0.0377,0.0972,1.017,0.0186,0.0141,1.582,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.299,0,TAKEOFF,-0.0392,0.0953,1.021,0.0177,0.0128,1.5819,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.349,0,TAKEOFF,-0.0408,0.0935,1.0253,0.0167,0.0114,1.5816,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
