t,run_id,state,pos_n,pos_e,alt,vel_n,vel_e,yaw,cmd_vx,cmd_vy,speed,target_n,target_e,dist_to_target,front_dist,min_threat,min_threat_angle,collision,ok,n_obs,compute_ms,heading_score,clearance_score,velocity_score,heading_term,clearance_term,velocity_term,total,safe_dist
0.049,0,INIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.099,0,INIT,-0.0679,0.029,0.2451,0.0103,-0.0043,1.5577,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.149,0,INIT,-0.0709,0.0259,0.2479,0.0084,-0.0066,1.5581,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.199,0,INIT,-0.0734,0.0245,0.2512,0.0064,-0.008,1.558,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.249,0,INIT,-0.0766,0.0226,0.2551,0.0039,-0.0097,1.5577,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.299,0,INIT,-0.0782,0.0215,0.2575,0.0027,-0.0107,1.5573,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.349,0,INIT,-0.0782,0.0211,0.26,0.0025,-0.0113,1.5569,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.4,0,INIT,-0.0781,0.0205,0.2626,0.0024,-0.0118,1.5564,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.449,0,INIT,-0.0779,0.0199,0.2641,0.0024,-0.0123,1.556,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.499,0,INIT,-0.0771,0.0187,0.2644,0.0026,-0.0128,1.556,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.549,0,INIT,-0.0765,0.0178,0.2646,0.0027,-0.0132,1.5559,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.599,0,INIT,-0.0752,0.0173,0.2634,0.0033,-0.0133,1.5555,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.649,0,INIT,-0.0736,0.0174,0.2615,0.004,-0.0131,1.5552,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.699,0,INIT,-0.0719,0.0174,0.2594,0.0047,-0.0129,1.5551,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.749,0,INIT,-0.071,0.017,0.2591,0.0048,-0.0129,1.5549,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.799,0,INIT,-0.0702,0.0162,0.2597,0.0047,-0.013,1.5548,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.849,0,INIT,-0.0696,0.0154,0.2601,0.0045,-0.0132,1.5552,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.899,0,INIT,-0.0707,0.0156,0.2627,0.0041,-0.0133,1.5559,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.949,0,INIT,-0.0718,0.0157,0.2648,0.0037,-0.0135,1.5565,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.999,0,INIT,-0.0729,0.0157,0.267,0.0033,-0.0137,1.5563,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.049,0,INIT,-0.0762,0.0188,0.2667,0.0021,-0.012,1.5562,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.099,0,TAKEOFF,-0.0797,0.022,0.2664,0.0008,-0.0103,1.5566,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.149,0,TAKEOFF,-0.0822,0.0243,0.266,-0.0001,-0.009,1.5571,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.199,0,TAKEOFF,-0.0831,0.0272,0.268,-0.0001,-0.0072,1.5577,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.249,0,TAKEOFF,-0.0837,0.0294,0.2693,-0.0002,-0.0059,1.558,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.299,0,TAKEOFF,-0.0839,0.0325,0.2706,0.0001,-0.004,1.5586,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.349,0,TAKEOFF,-0.0832,0.0362,0.2715,0.0006,-0.0018,1.5592,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.399,0,TAKEOFF,-0.0825,0.0402,0.2722,0.0012,0.0005,1.5593,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.449,0,TAKEOFF,-0.0787,0.0425,0.2707,0.0032,0.0015,1.5592,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.499,0,TAKEOFF,-0.0732,0.043,0.2679,0.0058,0.0013,1.5591,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.549,0,TAKEOFF,-0.0674,0.0436,0.2649,0.0086,0.0011,1.5588,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.599,0,TAKEOFF,-0.0609,0.0441,0.2601,0.0114,0.0008,1.5585,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.649,0,TAKEOFF,-0.0524,0.0447,0.253,0.0149,0.0004,1.5587,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.699,0,TAKEOFF,-0.0448,0.0451,0.2468,0.0179,0.0,1.5594,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.749,0,TAKEOFF,-0.0409,0.0474,0.2408,0.0187,0.0009,1.5601,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.799,0,TAKEOFF,-0.0366,0.0498,0.2344,0.0196,0.0019,1.5606,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.849,0,TAKEOFF,-0.0334,0.0516,0.2297,0.0202,0.0026,1.5605,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.9,0,TAKEOFF,-0.0297,0.0528,0.2248,0.0213,0.0027,1.5601,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.949,0,TAKEOFF,-0.0256,0.0539,0.2196,0.0224,0.0027,1.5593,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.999,0,TAKEOFF,-0.0239,0.0545,0.2163,0.0224,0.0024,1.5591,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.049,0,TAKEOFF,-0.0256,0.0541,0.2161,0.0209,0.0016,1.5594,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.099,0,TAKEOFF,-0.0274,0.0537,0.2157,0.0193,0.0007,1.5599,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.149,0,TAKEOFF,-0.0285,0.0521,0.2128,0.0182,-0.0006,1.5602,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.199,0,TAKEOFF,-0.0289,0.0498,0.2088,0.0175,-0.0021,1.5603,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.249,0,TAKEOFF,-0.0292,0.0473,0.2045,0.0169,-0.0036,1.5601,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.299,0,TAKEOFF,-0.0285,0.0457,0.2004,0.0169,-0.0048,1.56,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.349,0,TAKEOFF,-0.0277,0.0448,0.1977,0.0172,-0.0055,1.5602,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.399,0,TAKEOFF,-0.0266,0.0436,0.1942,0.0175,-0.0064,1.5604,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.449,0,TAKEOFF,-0.029,0.041,0.1939,0.0164,-0.0073,1.5602,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.499,0,TAKEOFF,-0.0312,0.0389,0.1941,0.0154,-0.008,1.5603,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.549,0,TAKEOFF,-0.0336,0.0365,0.1943,0.0143,-0.0087,1.5605,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.599,0,TAKEOFF,-0.035,0.0301,0.1988,0.0136,-0.0107,1.561,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.649,0,TAKEOFF,-0.0357,0.0263,0.2014,0.0132,-0.0119,1.5613,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.7,0,TAKEOFF,-0.0367,0.0211,0.2048,0.0126,-0.0135,1.5614,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.749,0,TAKEOFF,-0.0358,0.0178,0.2168,0.0132,-0.0137,1.5615,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.799,0,TAKEOFF,-0.035,0.0155,0.2255,0.0137,-0.0139,1.5615,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.849,0,TAKEOFF,-0.0342,0.0144,0.234,0.014,-0.0135,1.5612,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.899,0,TAKEOFF,-0.0338,0.0161,0.2404,0.014,-0.0119,1.5613,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.949,0,TAKEOFF,-0.0335,0.0173,0.245,0.0139,-0.0108,1.5615,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
2.999,0,TAKEOFF,-0.0332,0.0183,0.2498,0.0138,-0.01,1.5617,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
3.049,0,TAKEOFF,-0.0329,0.0188,0.2532,0.0136,-0.0097,1.5618,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
3.099,0,TAKEOFF,-0.0327,0.0192,0.2562,0.0134,-0.0096,1.5619,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
3.149,0,TAKEOFF,-0.0321,0.0193,0.2587,0.0132,-0.0097,1.562,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
3.199,0,TAKEOFF,-0.0314,0.0192,0.2604,0.0132,-0.01,1.562,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
3.249,0,TAKEOFF,-0.0308,0.019,0.2616,0.0131,-0.0103,1.562,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
3.299,0,TAKEOFF,-0.033,0.021,0.2631,0.0121,-0.0095,1.5624,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
3.349,0,TAKEOFF,-0.0351,0.0227,0.2641,0.0112,-0.0088,1.563,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
3.399,0,TAKEOFF,-0.0369,0.0243,0.265,0.0104,-0.0082,1.5636,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
3.449,0,TAKEOFF,-0.0373,0.0241,0.267,0.0104,-0.0085,1.5643,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
3.499,0,TAKEOFF,-0.0374,0.0237,0.2682,0.0105,-0.0089,1.5653,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
3.549,0,TAKEOFF,-0.0372,0.0238,0.2688,0.0107,-0.009,1.5663,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
3.599,0,TAKEOFF,-0.0364,0.0267,0.2672,0.0111,-0.008,1.567,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
3.65,0,TAKEOFF,-0.0357,0.0287,0.266,0.0115,-0.0073,1.5668,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
3.7,0,TAKEOFF,-0.0345,0.0307,0.264,0.0119,-0.0066,1.5663,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
3.749,0,TAKEOFF,-0.0307,0.0336,0.2586,0.013,-0.0051,1.5658,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
3.799,0,TAKEOFF,-0.0273,0.0361,0.2539,0.0139,-0.0038,1.5653,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
