t,run_id,state,pos_n,pos_e,alt,vel_n,vel_e,yaw,cmd_vx,cmd_vy,speed,target_n,target_e,dist_to_target,front_dist,min_threat,min_threat_angle,collision,ok,n_obs,compute_ms,heading_score,clearance_score,velocity_score,heading_term,clearance_term,velocity_term,total,safe_dist
0.049,0,INIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.099,0,INIT,-0.1952,-0.0939,1.0833,-0.0281,-0.0286,1.5496,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.149,0,INIT,-0.1935,-0.0969,1.082,-0.0266,-0.0299,1.5495,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.199,0,INIT,-0.192,-0.0998,1.0806,-0.0252,-0.0311,1.5494,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.249,0,INIT,-0.1888,-0.1038,1.0799,-0.0229,-0.033,1.5492,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.299,0,INIT,-0.1845,-0.1084,1.0802,-0.02,-0.0352,1.5491,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.349,0,INIT,-0.1808,-0.1127,1.08,-0.0175,-0.0372,1.5487,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.399,0,INIT,-0.1734,-0.1135,1.0818,-0.0136,-0.0374,1.5481,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.449,0,INIT,-0.1657,-0.1137,1.0837,-0.0096,-0.0373,1.5478,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.499,0,INIT,-0.1588,-0.1141,1.085,-0.0061,-0.0373,1.5476,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.549,0,INIT,-0.1512,-0.1149,1.086,-0.0025,-0.0375,1.5472,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.599,0,INIT,-0.1454,-0.1157,1.0863,0.0001,-0.0377,1.5467,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.649,0,INIT,-0.1413,-0.1165,1.0865,0.0019,-0.0379,1.5464,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
