t,run_id,state,pos_n,pos_e,alt,vel_n,vel_e,yaw,cmd_vx,cmd_vy,speed,target_n,target_e,dist_to_target,front_dist,min_threat,min_threat_angle,collision,ok,n_obs,compute_ms,heading_score,clearance_score,velocity_score,heading_term,clearance_term,velocity_term,total,safe_dist
0.049,0,INIT,-0.1488,0.0169,-0.0016,-0.0147,-0.0175,1.5749,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.099,0,INIT,-0.1454,0.0139,0.0014,-0.0126,-0.0191,1.5748,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.149,0,INIT,-0.1429,0.0115,0.0037,-0.011,-0.0203,1.5746,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.2,0,INIT,-0.1404,0.0099,0.0044,-0.0098,-0.021,1.5743,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.249,0,INIT,-0.1384,0.0093,0.0035,-0.0092,-0.0212,1.574,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.299,0,INIT,-0.1371,0.0087,0.0029,-0.0087,-0.0213,1.5738,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.349,0,INIT,-0.138,0.0068,-0.0008,-0.0094,-0.0223,1.5737,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.399,0,INIT,-0.1396,0.0046,-0.0046,-0.0103,-0.0234,1.5735,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.449,0,INIT,-0.1412,0.0026,-0.008,-0.0112,-0.0244,1.5735,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.499,0,INIT,-0.1414,0.0001,-0.0098,-0.0114,-0.0257,1.5737,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.549,0,INIT,-0.1413,-0.0024,-0.011,-0.0115,-0.027,1.5733,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.599,0,INIT,-0.1414,-0.0044,-0.0119,-0.0116,-0.028,1.573,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.649,0,INIT,-0.1443,-0.0044,-0.008,-0.0128,-0.0275,1.5729,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.699,0,INIT,-0.147,-0.0045,-0.0048,-0.0139,-0.0272,1.573,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.749,0,INIT,-0.1492,-0.004,-0.003,-0.0146,-0.0266,1.5732,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.799,0,INIT,-0.1527,-0.0005,-0.0036,-0.0155,-0.0244,1.5738,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.849,0,INIT,-0.1553,0.0019,-0.004,-0.0161,-0.0229,1.5746,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.899,0,INIT,-0.158,0.0039,-0.0061,-0.0163,-0.0215,1.576,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.95,0,INIT,-0.1603,0.005,-0.0095,-0.0159,-0.0206,1.5767,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.0,0,INIT,-0.1621,0.0058,-0.012,-0.0156,-0.02,1.5768,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.049,0,INIT,-0.1652,0.0076,-0.0137,-0.0161,-0.019,1.5765,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.099,0,TAKEOFF,-0.1697,0.0103,-0.0152,-0.0171,-0.0175,1.5764,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.15,0,TAKEOFF,-0.173,0.0122,-0.0163,-0.0179,-0.0165,1.5768,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.199,0,TAKEOFF,-0.1763,0.0163,-0.0176,-0.0179,-0.015,1.5773,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.249,0,TAKEOFF,-0.1792,0.0201,-0.0186,-0.0177,-0.0137,1.5777,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.3,0,TAKEOFF,-0.1813,0.0229,-0.0194,-0.0175,-0.0128,1.5783,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.349,0,TAKEOFF,-0.186,0.0267,-0.0197,-0.0184,-0.0113,1.5788,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.399,0,TAKEOFF,-0.1901,0.0299,-0.0199,-0.0192,-0.01,1.5792,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.45,0,TAKEOFF,-0.192,0.0321,-0.02,-0.0193,-0.009,1.579,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.499,0,TAKEOFF,-0.1893,0.0341,-0.0199,-0.0175,-0.0079,1.5784,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.549,0,TAKEOFF,-0.1864,0.0362,-0.0197,-0.0157,-0.0068,1.5778,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.599,0,TAKEOFF,-0.1815,0.037,-0.0232,-0.0126,-0.0065,1.5774,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.65,0,TAKEOFF,-0.176,0.0367,-0.0285,-0.0091,-0.0068,1.5771,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.7,0,TAKEOFF,-0.17,0.0363,-0.0341,-0.0054,-0.0072,1.5768,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.75,0,TAKEOFF,-0.1647,0.036,-0.037,-0.0023,-0.0076,1.5766,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.799,0,TAKEOFF,-0.1584,0.0356,-0.0394,0.0012,-0.008,1.5765,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.85,0,TAKEOFF,-0.1528,0.0351,-0.0415,0.0042,-0.0085,1.5768,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.899,0,TAKEOFF,-0.1477,0.036,-0.0432,0.0068,-0.0085,1.5769,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
1.949,0,TAKEOFF,-0.142,0.0371,-0.0451,0.0095,-0.0084,1.5769,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
